book_title,author,llm_model,Prompt_type,crowd_label,question_generated
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Completion,"On Sunday, the caterpillar ate through one nice green _____."
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Completion,"He built a small house, called a _____, around himself."
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Recall,What did the caterpillar turn into at the end of the book?
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Recall,What did the caterpillar eat on Monday?
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Wh-Question,Why did the caterpillar get a stomachache?
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Wh-Question,What came out of the little egg in the beginning?
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me about all the food the caterpillar ate on Saturday.
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Open-Ended,Look at the beautiful butterfly. Tell me about its wings.
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Distancing,What is your favorite food to eat when you are very hungry?
The Very Hungry Caterpillar,Eric Carle,gemini,ZeroShot,Distancing,Have you ever seen a real caterpillar or butterfly outside?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Completion,"Brown Bear, Brown Bear, what do you see? I see a red..."
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Completion,"Yellow Duck, Yellow Duck, what do you see? I see a blue..."
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Recall,What animal did the green frog see?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Recall,What color was the sheep in the story?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Wh-Question,Who saw the white dog?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Wh-Question,What did the teacher see looking at her?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me about your favorite animal in the book.
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Open-Ended,"If you could add another animal to the book, what would it be and what color?"
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Distancing,Have you ever seen a real bear? Where was it?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,ZeroShot,Distancing,The book has a purple cat and a blue horse. What colors are cats and horses in real life?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Completion,"At five o’clock, the grouchy ladybug saw a leaf full of ______."
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Completion,"At the end of the story, the two ladybugs decided to ______ the aphids."
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Recall,What did the grouchy ladybug say to every animal it met?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Recall,What animal slapped the grouchy ladybug with its tail?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Wh-Question,Why was the ladybug so grouchy at the beginning of the story?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Wh-Question,Who was the friendly bug the grouchy ladybug met at the end of the story?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me how the grouchy ladybug acted when it met the friendly ladybug at the end of the day.
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Open-Ended,What do you think would have happened if the grouchy ladybug had shared the aphids at the start of the day?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Distancing,Can you think of a time you felt grouchy? What made you feel better?
The Grouchy Ladybug,Eric Carle,gemini,ZeroShot,Distancing,The ladybug learned it's nice to share. What is something you like to share with your friends?
